0.259705	0	
0.31189	0	
0.366821	0	
0.422974	0	
0.480347	0	
0.53833	0	
0.596924	0	
0.655823	0	
0.714417	0	
0.772095	0	
0.827332	0	
0.878296	0	
0.922852	0	
0.959473	0	
0.986633	0	
1.00433	0	
1.01257	0	
1.01135	0	
1.00037	0	
0.978699	0	
0.946655	0	
0.903625	0	
0.849609	0	
0.785522	0	
0.712585	81.3008	
0.63385	81.3008	
0.551453	81.3008	
0.46814	81.3008	
0.384827	81.3008	
0.302124	81.3008	
0.221863	81.3008	
0.144958	81.3008	
0.0735474	81.3008	
0.0100708	81.3008	
-0.0445557	81.3008	
-0.0888062	81.3008	
-0.122986	81.3008	
-0.14679	81.3008	
-0.161438	81.3008	
-0.168762	81.3008	
-0.170288	81.3008	
-0.167847	81.3008	
-0.162354	81.3008	
-0.155334	81.3008	
-0.147705	81.3008	
-0.139465	81.3008	
-0.13092	81.3008	
-0.122375	81.3008	
-0.113831	81.3008	
-0.105896	81.3008	
-0.0991821	81.3008	
-0.0933838	81.3008	
-0.0888062	81.3008	
-0.0854492	81.3008	
-0.0836182	81.3008	
-0.0830078	81.3008	
-0.0830078	81.3008	
-0.0830078	81.3008	
-0.0823975	81.3008	
-0.0808716	81.3008	
-0.0790405	81.3008	
-0.0772095	81.3008	
-0.0762939	81.3008	
-0.0756836	81.3008	
-0.0756836	81.3008	
-0.0756836	81.3008	
-0.0756836	81.3008	
-0.0756836	81.3008	
-0.0762939	81.3008	
-0.0769043	81.3008	
-0.078125	81.3008	
-0.0799561	81.3008	
-0.0823975	81.3008	
-0.0839233	81.3008	
-0.0848389	81.3008	
-0.0848389	81.3008	
-0.0836182	81.3008	
-0.0814819	81.3008	
-0.0784302	81.3008	
-0.0744629	81.3008	
-0.0704956	81.3008	
-0.0668335	81.3008	
-0.0628662	81.3008	
-0.0595093	81.3008	
-0.0561523	81.3008	
-0.0527954	81.3008	
-0.0500488	81.3008	
-0.0473022	81.3008	
-0.045166	81.3008	
-0.0436401	81.3008	
-0.0427246	81.3008	
-0.0427246	81.3008	
-0.0436401	81.3008	
-0.0454712	81.3008	
-0.0488281	81.3008	
-0.0540161	81.3008	
-0.0610352	81.3008	
-0.0695801	81.3008	
